"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","261","TV Subscription Payment - invalid provider","QA - SaySwitch Developer APIs","Fri May 01 19:09:52 UTC 2026","passed","Fri May 01 19:09:53 UTC 2026","TV > TV Subscription Payment","Bill Payments","",""
"","258","Initiate Bank Transfer - invalid currency","QA - SaySwitch Developer APIs","Fri May 01 19:09:03 UTC 2026","passed","Fri May 01 19:09:04 UTC 2026","Bank Transfer > Initiate Bank Transfer","Server to Server","",""
"","259","Initiate payout - empty currency","QA - SaySwitch Developer APIs","Fri May 01 19:09:24 UTC 2026","passed","Fri May 01 19:09:25 UTC 2026","Initiate payout","Payouts","",""
"","258","Initiate payout - invalid currency","QA - SaySwitch Developer APIs","Fri May 01 19:09:24 UTC 2026","passed","Fri May 01 19:09:24 UTC 2026","Initiate payout","Payouts","",""
"","309","Initiate Transaction - invalid callback","QA - SaySwitch Developer APIs","Fri May 01 19:08:54 UTC 2026","failed","Fri May 01 19:08:55 UTC 2026","Initiate Transaction","Standard Checkout","",""
"","273","Initiate Transaction - invalid email format","QA - SaySwitch Developer APIs","Fri May 01 19:08:53 UTC 2026","failed","Fri May 01 19:08:54 UTC 2026","Initiate Transaction","Standard Checkout","",""
"","261","Initiate Bulk Payout - valid","QA - SaySwitch Developer APIs","Fri May 01 19:09:15 UTC 2026","failed","Fri May 01 19:09:15 UTC 2026","Initiate Bulk Payout","Payouts","",""
"","267","Get USSD Bank list - empty path_param","QA - SaySwitch Developer APIs","Fri May 01 19:09:06 UTC 2026","failed","Fri May 01 19:09:06 UTC 2026","USSD Payment > Get USSD Bank list","Server to Server","",""
"","258","Get PayoutDetails - empty id","QA - SaySwitch Developer APIs","Fri May 01 19:09:26 UTC 2026","passed","Fri May 01 19:09:26 UTC 2026","Get PayoutDetails","Payouts","",""
"","261","Initialize USSD Payment - empty amount","QA - SaySwitch Developer APIs","Fri May 01 19:09:07 UTC 2026","passed","Fri May 01 19:09:08 UTC 2026","USSD Payment > Initialize USSD Payment","Server to Server","",""
"","262","Get Transaction by Reference - valid","QA - SaySwitch Developer APIs","Fri May 01 19:09:10 UTC 2026","failed","Fri May 01 19:09:10 UTC 2026","Get Transaction by Reference","Transactions","",""
"","267","Get Bank List - empty path_param","QA - SaySwitch Developer APIs","Fri May 01 19:09:13 UTC 2026","failed","Fri May 01 19:09:13 UTC 2026","Get Bank List","Payouts","",""
"","259","Create Customer - invalid last_name","QA - SaySwitch Developer APIs","Fri May 01 19:09:34 UTC 2026","passed","Fri May 01 19:09:34 UTC 2026","Create Customer","Customer","",""
